SampleID,TA,Mass,Sample.Index
junk1,2347.660875,60.3086,1
junk2,2407.682351,59.7877,2
1_dawn,2374.838553,59.7348,3
2_dawn,2370.619043,60.4322,4
3_dawn,2372.22599,60.089,5
4_dawn,2371.105594,60.1325,6
5_dawn,2289.211972,60.2412,7
5b_dawn,2295.573075,59.8853,8
5c_dawn,2307.264605,60.2358,9
6_dawn,2358.404958,59.781,10
7_dawn,2364.286278,59.5408,11
8_dawn,2364.356503,60.4736,12
9_dawn,2367.837651,60.4671,13
10_dawn,2361.5782,60.2783,14
11_dawn,2363.313612,60.478,15
12_dawn,2373.096929,60.4153,16
1_dusk,2369.855689,59.9403,17
2_dusk,2371.358097,60.0937,18
3_dusk,2376.690433,60.1307,19
4_dusk,2365.831567,60.0548,20
5_dusk,2334.66848,59.6806,21
5h_dusk,2285.867668,60.2409,22
5i_dusk,2326.754353,59.7937,23
6_dusk,2362.644473,59.986,24
7_dusk,2365.284033,60.3969,25
8_dusk,2361.747174,60.48,26
9_dusk,2374.00881,59.6937,27
10_dusk,2362.557353,60.1281,28
11_dusk,2366.04223,59.6924,29
12_dusk,2346.143009,59.9049,30
13_dusk,2370.213237,59.8427,31