Site,CowTagID,Date,TempInSitu,SeepCode,Seep_Reef,Tide,Day_Night,Salinity_In_Field,SamplingTime,TempInLab,mV,Salinity_In_Lab,TA,TrisCalDate
Lagoon,41,2023-10-29T05:15:00Z,25.61,a,Seep,Low,Dawn,14.3,5:15:00,24.55,-55.2,NA,NA,20231008
Lagoon,42,2023-10-29T05:45:00Z,27.12,NA,Reef,Low,Dawn,36.9,5:45:00,24.96,-68.2,NA,NA,20231008
Lagoon,43,2023-10-29T05:45:00Z,27.3,NA,Reef,Low,Dawn,37.1,5:45:00,25,-70,NA,NA,20231008
Lagoon,44,2023-10-29T05:45:00Z,26.98,NA,Reef,Low,Dawn,37.1,5:45:00,25.008,-70.1,NA,NA,20231008
Lagoon,45,2023-10-29T05:45:00Z,26.646,NA,Reef,Low,Dawn,37.1,5:45:00,24.89,-70.4,NA,NA,20231008
Lagoon,46,2023-10-29T05:45:00Z,26.94,NA,Reef,Low,Dawn,37.1,5:45:00,25.03,-70.4,NA,NA,20231008
Lagoon,47,2023-10-29T05:45:00Z,26.598,NA,Reef,Low,Dawn,37.1,5:45:00,24.95,-70.5,NA,NA,20231008
Lagoon,48,2023-10-29T05:45:00Z,26.72,NA,Reef,Low,Dawn,37.1,5:45:00,24.84,-70.7,NA,NA,20231008
Lagoon,49,2023-10-29T05:45:00Z,26.88,NA,Reef,Low,Dawn,37.1,5:45:00,24.85,-70.8,NA,NA,20231008
Lagoon,50,2023-10-29T05:45:00Z,26.573,NA,Reef,Low,Dawn,37.1,5:45:00,24.85,-70.9,NA,NA,20231008
Lagoon,51,2023-10-29T05:45:00Z,26.68,NA,Reef,Low,Dawn,37.2,5:45:00,24.9,-71.5,NA,NA,20231008
Lagoon,52,2023-10-29T05:45:00Z,26.75,NA,Reef,Low,Dawn,37.2,5:45:00,24.9,-71.5,NA,NA,20231008
Lagoon,53,2023-10-29T05:45:00Z,26.72,NA,Reef,Low,Dawn,37.2,5:45:00,24.95,-71.1,NA,NA,20231008
Lagoon,41,2023-10-29T06:15:00Z,25.222,b,Seep,Low,Dawn,1.7,6:15:00,24.61,-53.7,NA,NA,20231008
Lagoon,41,2023-10-29T07:00:00Z,25.805,c,Seep,Low,Dawn,15.4,7:00:00,25.22,-61,NA,NA,20231008
Lagoon,41,2023-10-29T08:30:00Z,27.567,d,Seep,Low,Dawn,29.7,8:30:00,28.19,-69.2,NA,NA,20231008
Lagoon,41,2023-10-29T10:15:00Z,28.357,e,Seep,Mid,Dawn,33.8,10:15:00,27.663,-73.3,NA,NA,20231008
Lagoon,41,2023-10-29T11:45:00Z,27.961,f,Seep,High,Noon,35.3,11:45:00,28.002,-75,NA,NA,20231008
Lagoon,42,2023-10-29T11:45:00Z,27.83,NA,Reef,High,Noon,37.9,11:45:00,27.54,-79.3,NA,NA,20231008
Lagoon,43,2023-10-29T11:45:00Z,28.01,NA,Reef,High,Noon,37.9,11:45:00,27.47,-79.8,NA,NA,20231008
Lagoon,44,2023-10-29T11:45:00Z,27.69,NA,Reef,High,Noon,37.9,11:45:00,27.27,-79.7,NA,NA,20231008
Lagoon,45,2023-10-29T11:45:00Z,27.604,NA,Reef,High,Noon,37.9,11:45:00,27.63,-80,NA,NA,20231008
Lagoon,46,2023-10-29T11:45:00Z,27.71,NA,Reef,High,Noon,37.9,11:45:00,28.02,-79.4,NA,NA,20231008
Lagoon,47,2023-10-29T11:45:00Z,27.53,NA,Reef,High,Noon,37.9,11:45:00,27.77,-79.3,NA,NA,20231008
Lagoon,48,2023-10-29T11:45:00Z,29.3,NA,Reef,High,Noon,37.9,11:45:00,27.6,-79.3,NA,NA,20231008
Lagoon,49,2023-10-29T11:45:00Z,27.7,NA,Reef,High,Noon,37.9,11:45:00,27.8,-79.2,NA,NA,20231008
Lagoon,50,2023-10-29T11:45:00Z,27.579,NA,Reef,High,Noon,37.9,11:45:00,27.68,-79.3,NA,NA,20231008
Lagoon,51,2023-10-29T11:45:00Z,28.65,NA,Reef,High,Noon,37.9,11:45:00,27.34,-80,NA,NA,20231008
Lagoon,52,2023-10-29T11:45:00Z,27.55,NA,Reef,High,Noon,37.9,11:45:00,27.28,-79.8,NA,NA,20231008
Lagoon,53,2023-10-29T11:45:00Z,28.48,NA,Reef,High,Noon,37.9,11:45:00,27.58,-79.8,NA,NA,20231008
Lagoon,41,2023-10-29T13:00:00Z,28.159,g,Seep,High,Noon,37.9,13:00:00,27.92,-76.6,NA,NA,20231008
Lagoon,41,2023-10-29T15:30:00Z,28.555,h,Seep,Mid,Dusk,30,15:30:00,28.64,-75.5,NA,NA,20231008
Lagoon,41,2023-10-29T17:30:00Z,26.292,i,Seep,Low,Dusk,11.2,17:30:00,26.1,-61.6,NA,NA,20231008
Lagoon,42,2023-10-29T18:00:00Z,28.3,NA,Reef,Low,Dusk,37.5,18:00:00,26.98,-80,NA,NA,20231008
Lagoon,43,2023-10-29T18:00:00Z,28.46,NA,Reef,Low,Dusk,37.7,18:00:00,26.97,-81,NA,NA,20231008
Lagoon,44,2023-10-29T18:00:00Z,28.22,NA,Reef,Low,Dusk,37.7,18:00:00,27.05,-81.5,NA,NA,20231008
Lagoon,45,2023-10-29T18:00:00Z,27.924,NA,Reef,Low,Dusk,37.7,18:00:00,27.75,-81.7,NA,NA,20231008
Lagoon,46,2023-10-29T18:00:00Z,28.22,NA,Reef,Low,Dusk,37.7,18:00:00,27.15,-81.7,NA,NA,20231008
Lagoon,47,2023-10-29T18:00:00Z,27.875,NA,Reef,Low,Dusk,37.7,18:00:00,27.05,-81.5,NA,NA,20231008
Lagoon,48,2023-10-29T18:00:00Z,28.01,NA,Reef,Low,Dusk,37.8,18:00:00,26.92,-82.5,NA,NA,20231008
Lagoon,49,2023-10-29T18:00:00Z,28.23,NA,Reef,Low,Dusk,37.8,18:00:00,27.11,-82.6,NA,NA,20231008
Lagoon,50,2023-10-29T18:00:00Z,27.924,NA,Reef,Low,Dusk,37.8,18:00:00,27.12,-82.8,NA,NA,20231008
Lagoon,51,2023-10-29T18:00:00Z,28.01,NA,Reef,Low,Dusk,37.8,18:00:00,27.024,-83.4,NA,NA,20231008
Lagoon,52,2023-10-29T18:00:00Z,28.07,NA,Reef,Low,Dusk,37.8,18:00:00,26.9,-83.4,NA,NA,20231008
Lagoon,53,2023-10-29T18:00:00Z,28.05,NA,Reef,Low,Dusk,37.8,18:00:00,26.94,-83.1,NA,NA,20231008
Lagoon,41,2023-10-29T18:30:00Z,25.805,j,Seep,Low,Dusk,8.2,18:30:00,25.63,-59.2,NA,NA,20231008
La Source,1,2023-10-30T06:00:00Z,26.77,NA,Reef,Low,Dawn,36.9,6:00:00,26.4,-80,NA,NA,20231008
La Source,2,2023-10-30T06:00:00Z,26.69,NA,Reef,Low,Dawn,37.1,6:00:00,26.12,-79,NA,NA,20231008
La Source,3,2023-10-30T06:00:00Z,26.69,NA,Reef,Low,Dawn,37.1,6:00:00,26.06,-79.3,NA,NA,20231008
La Source,4,2023-10-30T06:00:00Z,26.65,NA,Reef,Low,Dawn,37.1,6:00:00,26.14,-80,NA,NA,20231008
La Source,5,2023-10-30T06:00:00Z,26.59,a,Seep,Low,Dawn,28.6,6:00:00,26.09,-76.6,NA,NA,20231008
La Source,5,2023-10-30T06:00:00Z,26.59,b,Seep,Low,Dawn,29,6:00:00,26.1,-77.2,NA,NA,20231008
La Source,5,2023-10-30T06:00:00Z,26.59,c,Seep,Low,Dawn,30.1,6:00:00,26.03,-77,NA,NA,20231008
La Source,6,2023-10-30T06:00:00Z,26.72,NA,Reef,Low,Dawn,37.1,6:00:00,26.18,-79.1,NA,NA,20231008
La Source,7,2023-10-30T06:00:00Z,26.72,NA,Reef,Low,Dawn,37,6:00:00,26.06,-80.3,NA,NA,20231008
La Source,8,2023-10-30T06:00:00Z,26.744,NA,Reef,Low,Dawn,37,6:00:00,25.96,-80,NA,NA,20231008
La Source,9,2023-10-30T06:00:00Z,26.744,NA,Reef,Low,Dawn,37.1,6:00:00,26.04,-70.8,NA,NA,20231008
La Source,10,2023-10-30T06:00:00Z,26.82,NA,Reef,Low,Dawn,37,6:00:00,26.113,-79.8,NA,NA,20231008
La Source,11,2023-10-30T06:00:00Z,26.77,NA,Reef,Low,Dawn,37.1,6:00:00,26.12,-80.1,NA,NA,20231008
La Source,12,2023-10-30T06:00:00Z,26.77,NA,Reef,Low,Dawn,37,6:00:00,26.1,-80.1,NA,NA,20231008
Nordhoff,13,2023-10-30T06:30:00Z,26.81,NA,Reef,Low,Dawn,37.1,6:30:00,26.05,-81.4,NA,NA,20231008
Nordhoff,14,2023-10-30T06:30:00Z,26.88,NA,Reef,Low,Dawn,37.1,6:30:00,26.22,-81.9,NA,NA,20231008
Nordhoff,15,2023-10-30T06:30:00Z,26.793,NA,Reef,Low,Dawn,37.1,6:30:00,26.21,-82,NA,NA,20231008
Nordhoff,16,2023-10-30T06:30:00Z,26.7,NA,Reef,Low,Dawn,37,6:30:00,26.19,-82.1,NA,NA,20231008
Nordhoff,17,2023-10-30T06:30:00Z,26.7,NA,Reef,Low,Dawn,37.1,6:30:00,26.12,-82.2,NA,NA,20231008
Nordhoff,18,2023-10-30T06:30:00Z,26.6,NA,Reef,Low,Dawn,37.1,6:30:00,26.12,-82.3,NA,NA,20231008
Nordhoff,19,2023-10-30T06:30:00Z,26.74,NA,Reef,Low,Dawn,37.1,6:30:00,26.21,-82,NA,NA,20231008
Nordhoff,20,2023-10-30T06:30:00Z,26.74,NA,Reef,Low,Dawn,37.1,6:30:00,26.46,-81.9,NA,NA,20231008
Nordhoff,21,2023-10-30T06:30:00Z,26.818,NA,Reef,Low,Dawn,37.1,6:30:00,26.19,-81.9,NA,NA,20231008
Nordhoff,22,2023-10-30T06:30:00Z,26.67,NA,Reef,Low,Dawn,37.1,6:30:00,26.28,-82.3,NA,NA,20231008
Nordhoff,23,2023-10-30T06:30:00Z,26.67,NA,Reef,Low,Dawn,37.1,6:30:00,26.58,-81.9,NA,NA,20231008
Nordhoff,24,2023-10-30T06:30:00Z,26.67,NA,Reef,Low,Dawn,37.1,6:30:00,26.17,-82.1,NA,NA,20231008
La Source,1,2023-10-30T11:30:00Z,27.41,NA,Reef,High,Noon,36.9,11:30:00,26.95,-81.1,NA,NA,20231008
La Source,2,2023-10-30T11:30:00Z,26.8,NA,Reef,High,Noon,37,11:30:00,27.05,-81.1,NA,NA,20231008
La Source,3,2023-10-30T11:30:00Z,26.8,NA,Reef,High,Noon,37,11:30:00,26.97,-81.5,NA,NA,20231008
La Source,4,2023-10-30T11:30:00Z,26.79,NA,Reef,High,Noon,37,11:30:00,27.129,-81.3,NA,NA,20231008
La Source,5,2023-10-30T11:30:00Z,26.4,d,Seep,High,Noon,29.9,11:30:00,27.102,-78.4,NA,NA,20231008
La Source,5,2023-10-30T11:30:00Z,26.4,e,Seep,High,Noon,30.4,11:30:00,27.045,-79.2,NA,NA,20231008
La Source,5,2023-10-30T11:30:00Z,26.4,f,Seep,High,Noon,26.2,11:30:00,26.85,-76.6,NA,NA,20231008
La Source,6,2023-10-30T11:30:00Z,26.891,NA,Reef,High,Noon,37,11:30:00,27.12,-81,NA,NA,20231008
La Source,7,2023-10-30T11:30:00Z,26.891,NA,Reef,High,Noon,37,11:30:00,27.08,-81.4,NA,NA,20231008
La Source,8,2023-10-30T11:30:00Z,26.891,NA,Reef,High,Noon,37,11:30:00,27,-82,NA,NA,20231008
La Source,9,2023-10-30T11:30:00Z,26.989,NA,Reef,High,Noon,37,11:30:00,27.1,-81.7,NA,NA,20231008
La Source,10,2023-10-30T11:30:00Z,26.98,NA,Reef,High,Noon,37,11:30:00,27.02,-81.7,NA,NA,20231008
La Source,11,2023-10-30T11:30:00Z,27.02,NA,Reef,High,Noon,37,11:30:00,27.01,-82.2,NA,NA,20231008
La Source,12,2023-10-30T11:30:00Z,27.41,NA,Reef,High,Noon,37,11:30:00,27.02,-82.3,NA,NA,20231008
Nordhoff,13,2023-10-30T12:00:00Z,27.07,NA,Reef,High,Noon,37,12:00:00,27.12,-80.9,NA,NA,20231008
Nordhoff,14,2023-10-30T12:00:00Z,26.94,NA,Reef,High,Noon,37.1,12:00:00,27.22,-81.5,NA,NA,20231008
Nordhoff,15,2023-10-30T12:00:00Z,26.891,NA,Reef,High,Noon,37.1,12:00:00,27.42,-81.5,NA,NA,20231008
Nordhoff,16,2023-10-30T12:00:00Z,26.79,NA,Reef,High,Noon,37,12:00:00,27.33,-81.7,NA,NA,20231008
Nordhoff,17,2023-10-30T12:00:00Z,26.79,NA,Reef,High,Noon,37.1,12:00:00,27.45,-81.4,NA,NA,20231008
Nordhoff,18,2023-10-30T12:00:00Z,26.69,NA,Reef,High,Noon,37.1,12:00:00,27.5,-81.8,NA,NA,20231008
Nordhoff,19,2023-10-30T12:00:00Z,26.85,NA,Reef,High,Noon,37.1,12:00:00,27.51,-81.8,NA,NA,20231008
Nordhoff,20,2023-10-30T12:00:00Z,26.85,NA,Reef,High,Noon,37.1,12:00:00,27.33,-82,NA,NA,20231008
Nordhoff,21,2023-10-30T12:00:00Z,26.94,NA,Reef,High,Noon,37.1,12:00:00,27.37,-82,NA,NA,20231008
Nordhoff,22,2023-10-30T12:00:00Z,26.78,NA,Reef,High,Noon,37.1,12:00:00,27.57,-81.8,NA,NA,20231008
Nordhoff,23,2023-10-30T12:00:00Z,26.78,NA,Reef,High,Noon,37.1,12:00:00,27.57,-82,NA,NA,20231008
Nordhoff,24,2023-10-30T12:00:00Z,26.78,NA,Reef,High,Noon,37.1,12:00:00,27.5,-82.2,NA,NA,20231008
La Source,1,2023-10-30T17:30:00Z,27.45,NA,Reef,Low,Dusk,37.1,17:30:00,26.534,-80.7,NA,NA,20231008
La Source,2,2023-10-30T17:30:00Z,26.8,NA,Reef,Low,Dusk,37,17:30:00,26.6,-80.6,NA,NA,20231008
La Source,3,2023-10-30T17:30:00Z,26.8,NA,Reef,Low,Dusk,37.1,17:30:00,26.55,-80.8,NA,NA,20231008
La Source,4,2023-10-30T17:30:00Z,26.73,NA,Reef,Low,Dusk,37,17:30:00,26.36,-81,NA,NA,20231008
La Source,5,2023-10-30T17:30:00Z,25.87,g,Seep,Low,Dusk,32.9,17:30:00,26.55,-79.4,NA,NA,20231008
La Source,5,2023-10-30T17:30:00Z,25.87,h,Seep,Low,Dusk,27.3,17:30:00,26.21,-76.8,NA,NA,20231008
La Source,5,2023-10-30T17:30:00Z,25.87,i,Seep,Low,Dusk,31.5,17:30:00,26.32,-78.5,NA,NA,20231008
La Source,6,2023-10-30T17:30:00Z,26.867,NA,Reef,Low,Dusk,37,17:30:00,26.48,-79.9,NA,NA,20231008
La Source,7,2023-10-30T17:30:00Z,26.867,NA,Reef,Low,Dusk,37,17:30:00,26.44,-80.5,NA,NA,20231008
La Source,8,2023-10-30T17:30:00Z,26.891,NA,Reef,Low,Dusk,37,17:30:00,26.38,-80.9,NA,NA,20231008
La Source,9,2023-10-30T17:30:00Z,26.891,NA,Reef,Low,Dusk,37,17:30:00,26.48,-80.4,NA,NA,20231008
La Source,10,2023-10-30T17:30:00Z,27.09,NA,Reef,Low,Dusk,37,17:30:00,26.51,-81.1,NA,NA,20231008
La Source,11,2023-10-30T17:30:00Z,27.12,NA,Reef,Low,Dusk,37,17:30:00,26.33,-81.1,NA,NA,20231008
La Source,12,2023-10-30T17:30:00Z,27.45,NA,Reef,Low,Dusk,37,17:30:00,26.6,-81.8,NA,NA,20231008
Nordhoff,13,2023-10-30T18:00:00Z,26.9,NA,Reef,Low,Dusk,37.1,18:00:00,26.24,-80.2,NA,NA,20231008
Nordhoff,14,2023-10-30T18:00:00Z,26.99,NA,Reef,Low,Dusk,37.1,18:00:00,26.19,-80.5,NA,NA,20231008
Nordhoff,15,2023-10-30T18:00:00Z,26.867,NA,Reef,Low,Dusk,37.1,18:00:00,26.17,-80.7,NA,NA,20231008
Nordhoff,16,2023-10-30T18:00:00Z,26.92,NA,Reef,Low,Dusk,37,18:00:00,26.184,-80.6,NA,NA,20231008
Nordhoff,17,2023-10-30T18:00:00Z,26.92,NA,Reef,Low,Dusk,37,18:00:00,26.2,-80.7,NA,NA,20231008
Nordhoff,18,2023-10-30T18:00:00Z,26.86,NA,Reef,Low,Dusk,37.1,18:00:00,25.99,-80.6,NA,NA,20231008
Nordhoff,19,2023-10-30T18:00:00Z,27.12,NA,Reef,Low,Dusk,37,18:00:00,25.99,-81,NA,NA,20231008
Nordhoff,20,2023-10-30T18:00:00Z,27.12,NA,Reef,Low,Dusk,37,18:00:00,26.12,-80.6,NA,NA,20231008
Nordhoff,21,2023-10-30T18:00:00Z,27.136,NA,Reef,Low,Dusk,37,18:00:00,26,-80.7,NA,NA,20231008
Nordhoff,22,2023-10-30T18:00:00Z,27.16,NA,Reef,Low,Dusk,37,18:00:00,26.26,-81,NA,NA,20231008
Nordhoff,23,2023-10-30T18:00:00Z,27.16,NA,Reef,Low,Dusk,37,18:00:00,26.14,-80.5,NA,NA,20231008
Nordhoff,24,2023-10-30T18:00:00Z,27.16,NA,Reef,Low,Dusk,37,18:00:00,26.17,-80.7,NA,NA,20231008
